"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","SHOPPINGPAGE-Add-Espresso-to-Cart","","0","0","18","0","0"
"","SHOPPINGPAGE-Checkout-Price","","0","0","42","0","0"
"","SHOPPINGPAGE-Cart-Count","","0","0","9","0","0"
"","HOVER-Hover-Behavior","","0","0","3","0","0"
"","API-GET-Headers","","0","0","3","0","0"
"","ADDTOCART-Add-Mocked-Coffee-to-Cart","","0","0","3","0","0"
"","SHOPPINGPAGE-Items-On-Shopping-Page","","0","0","9","0","0"
"","DRAGDROP-Drag-and-drop-Behavior","","0","0","3","0","0"
"","API-GET-Details","","0","0","3","0","0"
"","SHOPPINGPAGE-Add-Espresso_Macchiato-to-Cart","","0","0","6","0","0"
"","SHOPPINGPAGE-Add-Cappuccino-to-Cart","","0","0","6","0","0"
"","SHOPPINGPAGE-Add-Mocha-to-Cart","","0","0","3","0","0"
"","SHOPPINGPAGE-Add-Flat_White-to-Cart","","0","0","3","0","0"
"","SHOPPINGPAGE-Add-Americano-to-Cart","","0","0","3","0","0"
"","SHOPPINGPAGE-Add-Cafe_Latte-to-Cart","","0","0","3","0","0"
"","SHOPPINGPAGE-Add-Espresso_Con Panna-to-Cart","","0","0","3","0","0"
"","SHOPPINGPAGE-Add-Cafe_Breve-to-Cart","","0","0","3","0","0"
"","CART-Remove-All-Espressos","","0","0","3","0","0"
"","DEALS-Offer-3-in-cart","","0","0","3","0","0"
"","CART-Cart-Cost","","0","0","3","0","0"
"","SHOPPINGPAGE-GET-List","","0","0","3","0","0"
