"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 02 19:58:38 GMT 2025","Mon Jun 02 19:58:39 GMT 2025","1453","webkit","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to drag and drop",""
"passed","Mon Jun 02 19:58:08 GMT 2025","Mon Jun 02 19:58:08 GMT 2025","875","firefox","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add a coffee to the cart",""
"passed","Mon Jun 02 19:58:34 GMT 2025","Mon Jun 02 19:58:34 GMT 2025","895","webkit","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should add a coffee to the cart from a mocked shopping page",""
"passed","Mon Jun 02 19:58:33 GMT 2025","Mon Jun 02 19:58:34 GMT 2025","877","webkit","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should be able to remove an item from the cart",""
"passed","Mon Jun 02 19:58:07 GMT 2025","Mon Jun 02 19:58:07 GMT 2025","967","firefox","coffee-cart.spec.ts","Coffee Cart Main Page","","","should load the coffee cart shopping page",""
"passed","Mon Jun 02 19:57:50 GMT 2025","Mon Jun 02 19:57:50 GMT 2025","657","chromium","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should return 200 on GET list",""
"passed","Mon Jun 02 19:57:57 GMT 2025","Mon Jun 02 19:57:57 GMT 2025","412","chromium","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should be presented an offer after 3 in cart",""
"passed","Mon Jun 02 19:58:18 GMT 2025","Mon Jun 02 19:58:20 GMT 2025","1643","firefox","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to drag and drop",""
"passed","Mon Jun 02 19:58:13 GMT 2025","Mon Jun 02 19:58:14 GMT 2025","922","firefox","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should add a coffee to the cart from a mocked shopping page",""
"passed","Mon Jun 02 19:58:04 GMT 2025","Mon Jun 02 19:58:05 GMT 2025","1198","firefox","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should return 200 on GET list",""
"passed","Mon Jun 02 19:58:35 GMT 2025","Mon Jun 02 19:58:38 GMT 2025","2619","webkit","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to observe hover behavior",""
"passed","Mon Jun 02 19:58:01 GMT 2025","Mon Jun 02 19:58:03 GMT 2025","1227","chromium","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to drag and drop",""
"passed","Mon Jun 02 19:58:26 GMT 2025","Mon Jun 02 19:58:26 GMT 2025","353","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify content type header",""
"passed","Mon Jun 02 19:57:58 GMT 2025","Mon Jun 02 19:57:58 GMT 2025","386","chromium","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should be able to remove an item from the cart",""
"passed","Mon Jun 02 19:57:53 GMT 2025","Mon Jun 02 19:57:54 GMT 2025","163","chromium","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify content type header",""
"passed","Mon Jun 02 19:58:15 GMT 2025","Mon Jun 02 19:58:18 GMT 2025","3102","firefox","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to observe hover behavior",""
"passed","Mon Jun 02 19:58:26 GMT 2025","Mon Jun 02 19:58:27 GMT 2025","429","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify specific coffee details",""
"passed","Mon Jun 02 19:57:57 GMT 2025","Mon Jun 02 19:57:58 GMT 2025","371","chromium","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should have 1 item in the cart",""
"passed","Mon Jun 02 19:58:10 GMT 2025","Mon Jun 02 19:58:11 GMT 2025","988","firefox","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should be presented an offer after 3 in cart",""
"passed","Mon Jun 02 19:57:59 GMT 2025","Mon Jun 02 19:57:59 GMT 2025","471","chromium","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should handle error on mocked shopping page",""
"passed","Mon Jun 02 19:57:58 GMT 2025","Mon Jun 02 19:57:59 GMT 2025","418","chromium","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should add a coffee to the cart from a mocked shopping page",""
"passed","Mon Jun 02 19:58:06 GMT 2025","Mon Jun 02 19:58:06 GMT 2025","607","firefox","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify content type header",""
"passed","Mon Jun 02 19:57:55 GMT 2025","Mon Jun 02 19:57:57 GMT 2025","2345","chromium","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add multiple coffees to the cart (all 9)",""
"passed","Mon Jun 02 19:58:28 GMT 2025","Mon Jun 02 19:58:29 GMT 2025","678","webkit","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add a coffee to the cart",""
"passed","Mon Jun 02 19:58:31 GMT 2025","Mon Jun 02 19:58:32 GMT 2025","922","webkit","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should be presented an offer after 3 in cart",""
"passed","Mon Jun 02 19:58:32 GMT 2025","Mon Jun 02 19:58:33 GMT 2025","763","webkit","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should have 1 item in the cart",""
"passed","Mon Jun 02 19:57:54 GMT 2025","Mon Jun 02 19:57:54 GMT 2025","166","chromium","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify specific coffee details",""
"passed","Mon Jun 02 19:58:27 GMT 2025","Mon Jun 02 19:58:28 GMT 2025","1624","webkit","coffee-cart.spec.ts","Coffee Cart Main Page","","","should load the coffee cart shopping page",""
"passed","Mon Jun 02 19:57:54 GMT 2025","Mon Jun 02 19:57:55 GMT 2025","308","chromium","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add a coffee to the cart",""
"passed","Mon Jun 02 19:58:12 GMT 2025","Mon Jun 02 19:58:13 GMT 2025","1144","firefox","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should be able to remove an item from the cart",""
"passed","Mon Jun 02 19:57:59 GMT 2025","Mon Jun 02 19:58:01 GMT 2025","2282","chromium","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to observe hover behavior",""
"passed","Mon Jun 02 19:57:54 GMT 2025","Mon Jun 02 19:57:54 GMT 2025","474","chromium","coffee-cart.spec.ts","Coffee Cart Main Page","","","should load the coffee cart shopping page",""
"passed","Mon Jun 02 19:58:11 GMT 2025","Mon Jun 02 19:58:12 GMT 2025","741","firefox","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should have 1 item in the cart",""
"passed","Mon Jun 02 19:58:29 GMT 2025","Mon Jun 02 19:58:31 GMT 2025","1676","webkit","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add multiple coffees to the cart (all 9)",""
"passed","Mon Jun 02 19:58:34 GMT 2025","Mon Jun 02 19:58:35 GMT 2025","781","webkit","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should handle error on mocked shopping page",""
"passed","Mon Jun 02 19:58:21 GMT 2025","Mon Jun 02 19:58:25 GMT 2025","4029","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should return 200 on GET list",""
"passed","Mon Jun 02 19:58:14 GMT 2025","Mon Jun 02 19:58:15 GMT 2025","755","firefox","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should handle error on mocked shopping page",""
"passed","Mon Jun 02 19:58:06 GMT 2025","Mon Jun 02 19:58:06 GMT 2025","335","firefox","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify specific coffee details",""
"passed","Mon Jun 02 19:58:08 GMT 2025","Mon Jun 02 19:58:10 GMT 2025","1732","firefox","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add multiple coffees to the cart (all 9)",""
